 MODEL, SCENARIO , REGION , VARIABLE , UNIT ,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|AFOLU , Mt CO2/yr ,3517.44,3175.59748198379,372.327063993975,1383.64846679197,-815.087800311799,-1490.51520039762,-1832.27869896721,-2121.9798204245,-2222.96265532913,-2381.43357563061 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Aircraft , Mt CO2/yr ,764.542185141304,787.013087585924,499.738959232532,351.951743704426,232.239836454707,186.316562962816,169.582553605747,149.887104034424,117.782070159912,91.545259475708 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Energy Sector , Mt CO2/yr ,15371.1961770746,15579.5447483027,9155.2162016313,1733.19909207425,-1533.03242582131,-3141.96969305924,-4813.07799906986,-6789.04740364824,-9760.16028058597,-12871.0505269816 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Industrial Sector , Mt CO2/yr ,8929.72070721387,8974.63136248432,5519.09901480033,2405.73060366487,1046.87543988077,567.610487814435,128.458520659469,-130.231165774166,-195.880436360836,-178.718992710113 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|International Shipping , Mt CO2/yr ,1006.84608954093,974.907275611819,409.621668275967,368.65763676639,347.485692366305,321.57247863794,299.469338699333,264.588654065344,244.340208691716,223.171229184094 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Residential Commercial Other , Mt CO2/yr ,3289.91599854426,3538.08724583428,2876.91967391542,2542.30597551269,2114.97373074119,1787.99420027228,1384.13895356176,1134.29376858565,1070.04505633652,1045.59382438659 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Solvents Production and Application , Mt CO2/yr ,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365,50.5691693663365 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Transportation Sector , Mt CO2/yr ,6092.06802068281,6482.94813046333,3833.3512161231,1508.59818144281,475.909965027512,62.0157269280541,5.74006266814063,2.7091648701166,0.816088066907793,0.108116100332344 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO2|Waste , Mt CO2/yr ,130.427950054924,130.427950054924,130.427950054924,130.427950054924,130.427950054924,130.427950054924,130.427950054924,130.427950054924,130.427950054924,130.427950054924 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO|Agricultural Waste Burning , Mt CO/yr ,28.0482450811481,30.48653146035,35.8256075484397,39.9136816702444,41.986967709262,40.9253910542379,40.7430009696973,40.3752203641235,39.1909366503251,37.1748064439547 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO|Aircraft , Mt CO/yr ,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356,0.577669356422356 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO|Energy Sector , Mt CO/yr ,48.8632961074168,41.400285193937,21.6882914573739,20.0304213255784,20.8712941717358,22.0057290736916,24.9745023756559,31.697437345574,41.4279661943911,52.4592062830426 
 IMAGE, SSP1-19 , World , CMIP6 Emissions|CO|Forest Burning , Mt CO/yr ,103.702196749566,92.9654519299745,49.146699417873,81.9062390965745,36.782232555257,28.2464996376637,27.0831693436128,20.5721520166192,21.1979557055547,11.0980298557065 
