Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
1912,World,831.827388197805,42.9336169197921,7.728,0.0482261072177282,0.0,0.0,882.5372312248148
1913,World,898.448317924695,49.7107137370363,8.078,0.0553289514994175,0.0,0.0,956.2923606132306
1914,World,808.312062283503,50.8032848296358,8.22501719470442,0.0400199049057627,0.0,0.0,867.3803842127489
1915,World,792.233535805101,53.9475385845829,8.69698413978875,0.0437506113024652,0.0,0.0,854.9218091407752
1916,World,854.062300031918,58.7614784231881,10.4740201100873,0.0494857342087528,0.0,0.0,923.347284299402
1917,World,889.139333958407,65.3572323347923,11.0559836310269,0.0404624236477035,0.0,0.0,965.593012347874
1918,World,875.938245370804,66.8833464983829,9.96700057926241,0.0326381503007731,0.0,0.0,952.82123059875
1919,World,741.07726399193,74.6250478124346,10.3569963201472,0.0340461306385353,0.0,0.0,826.0933542551503
1920,World,853.142213769057,95.8877813173822,11.3770178922607,0.0406383534540975,0.0,0.0,960.447651332154
1921,World,728.269220331567,105.051650021003,9.5503258543709,0.035365712349628,0.0,0.0,842.9065619192905
1922,World,756.180982878282,116.524667737643,10.9462479306945,0.0526116236110376,0.0,0.0,883.7045101702305
1923,World,858.733277935797,129.472259417088,14.3357386304398,0.0567566280232563,0.0,0.0,1002.598032611348
1924,World,860.428856904356,128.812631514028,16.2962356345215,0.0589609728479745,0.0,0.0,1005.5966850257536
1925,World,860.094370594858,134.884154425527,17.4462617723698,3.93795417025628,0.0,0.0,1016.362740963011
1926,World,841.072892639522,134.401117631785,18.8717572697794,4.02302516870735,0.0,0.0,998.368792709794
1927,World,917.427070467015,147.454957134432,20.7474965326222,4.21616164306298,0.0,0.0,1089.8456857771323
1928,World,902.08612797178,150.757945533394,22.5506226290652,9.71152203632683,0.0,0.0,1085.106218170566
1929,World,961.286414136677,165.42703933251,28.0830743637568,10.0635215518067,0.0,0.0,1164.8600493847505
1930,World,877.181358168716,158.991813485191,28.4457130876904,9.7055308093393,0.0,0.0,1074.3244155509367
1931,World,772.501296322101,153.886846142502,25.3518109057159,8.43184854508145,0.0,0.0,960.1718019154004
1932,World,687.718532146646,147.226816654442,24.0781064804671,6.73964907831528,0.0,0.0,865.7631043598705
1933,World,719.280512615959,160.96401483724,24.8151925636207,6.50628743429025,0.0,0.0,911.56600745111
1934,World,785.478564976053,170.349758551376,27.827165941106,7.78229890589621,0.0,0.0,991.4377883744312
1935,World,817.841287267129,183.625867276734,30.3997243737086,8.74936065737216,0.0,0.0,1040.6162395749436
1936,World,896.503896619682,200.313035090527,34.2648596678959,10.5721052264802,0.0,0.0,1141.6538966045853
1937,World,945.239387027301,225.645629200623,38.3712507686867,11.1364381474939,0.0,0.0,1220.3927051441044
1938,World,880.910414192187,219.162801623172,36.9844901691839,10.5133809137817,0.0,0.0,1147.5710868983244
1939,World,937.480346235336,228.289604889513,38.5770113218088,9.73236629228354,0.0,0.0,1214.0793287389415
1940,World,1035.41809186719,240.001021309889,41.9082514729335,8.57822366277621,0.0,0.0,1325.9055883127887
1941,World,1060.05184614592,241.810594775774,41.8840664646053,11.8157719278809,0.0,0.0,1355.5622793141802
1942,World,1067.05801597664,229.646827422165,45.3190346070516,10.4738888700021,0.0,0.0,1352.4977668758588
1943,World,1071.30342513489,244.116302538019,49.9180935267717,9.48932267062457,0.0,0.0,1374.827143870305
1944,World,1055.68700570189,279.825071234784,53.9303564584794,6.18557465457798,0.0,0.0,1395.6280080497313
1945,World,818.241217603482,277.129685980542,59.1568747266235,6.27337751869221,0.0,0.0,1160.80115582934
1946,World,882.655526756685,313.295550138113,61.1058475133256,9.90887917960125,0.0,0.0,1266.9658035877248
1947,World,988.31405829637,335.412991261117,67.6739681453786,11.7742333509641,0.0,0.0,1403.17525105383
1948,World,1020.49293051996,368.231185359531,76.4714450403379,14.0925377119586,0.0,0.0,1479.2880986317875
1949,World,967.739806189983,347.247215292438,82.0206064225189,15.8812319374147,0.0,0.0,1412.8888598423546
1950,World,1052.22072939348,429.926037434338,96.4094127140553,18.2586276071842,20.094,35.042,1651.9508071490577
1951,World,1107.82990731942,476.226211460831,113.61399949313,20.6784860966685,21.8000163454337,41.806,1781.954620715483
1952,World,1093.91257741515,502.375274556329,122.045240588095,22.037733573673,23.2979814630477,42.619,1806.287807596295
1953,World,1103.36416011031,533.889619363821,129.53465748198,24.4393182152415,22.2019733116841,44.242,1857.6717284830363
1954,World,1102.2008874005,564.717413214983,136.85635962836,26.5102831527582,21.1823174983563,44.403,1895.8702608949573
1955,World,1193.13304299949,631.454558106357,149.381001896721,29.3219622153531,26.4290117487988,51.062,2080.78157696672
